gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,played,in_dreamteam
2,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,510,90,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,True,False
2,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,514,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,519,90,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,0,True,False
2,520,90,0,0,0,2,0,0,0,1,0,0,0,2,0,0,13,2,True,False
2,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,524,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,True,False
2,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,527,65,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,4,True,False
2,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
